,as_of_year,state_code,applicant_income,loan_amount,conventional_loans,FHA_loans,VA_loans,FSA_RHS_loans,purchase,improvement,refinancing,multifamily,loans_originated,loans_approved_not_originated,loans_denied,other_loans,race_black,race_other,race_white,race_msrpd,subprime,subprime_originated,subprime_amount,subprime_amount_originated,total
0,1990,1,3952106.277388470,3388468.7379149400,43446,17195,4580,3,45307,11708,6189,180,40373,2342,10696,11820,7010,986,47608,9627,6,3,862.0,270.0,65231
1,1990,13,8928619.01278789,8824295.563191560,64267,33669,8799,11,75198,13357,15437,438,60848,1360,12273,32322,12583,3145,64573,26502,221,55,19775.0,5467.0,106803
2,1990,27,9553899.244209820,6927407.737914940,52711,32611,4416,41,59880,22210,11977,416,60647,1555,8323,27826,1151,2561,71175,23464,17,3,1415.0,135.0,98351
3,1990,37,9060084.88266847,7136549.1077454800,77906,25612,6608,16,69798,12457,14523,490,75424,2329,13062,19336,10944,3106,78605,17496,75,11,5850.0,1503.0,110151
4,1990,45,3366073.3785732600,3446711.912638310,37157,13560,4574,1,36747,7694,5299,146,34082,1028,7238,12950,5218,1283,39454,9343,26,10,3642.0,1742.0,55298
5,1990,51,11524801.82762570,14807649.912638300,96681,31863,17937,4,96314,25290,21047,725,85933,1169,13227,46222,10219,7815,86067,42450,1214,377,68465.0,9094.0,1465510
0,1991,1,3491051.979856710,3921760.0,48363,14672,7326,2,42585,12999,14636,142,44294,1538,10499,14032,7142,1095,51093,11033,318,87,12214.0,4334.0,70363
1,1991,13,7190713.302612450,10312281.0,78203,33223,10139,28,75155,13278,32984,176,71826,2275,13751,33741,14820,4677,77562,24534,1090,619,87144.0,55246.0,121593
2,1991,27,7884922.424867950,8574851.0,77345,33522,5013,12,58388,21530,35849,125,74810,1831,10389,28862,1150,2736,87762,24244,225,98,11774.0,5486.0,115892
3,1991,37,6678151.487648370,8866243.0,103021,17799,7823,62,79743,13754,35042,166,82662,5167,20824,20052,13755,3498,97826,13626,183,123,19826.0,14515.0,128705
4,1991,45,3318514.7302629200,3981587.0,49222,8740,4663,17,39671,8430,14451,90,37537,2286,10397,12422,6685,1143,45592,9222,68,52,8208.0,6920.0,62642
5,1991,51,10898411.740186000,17188965.0,110410,30221,21695,18,96459,18664,47095,125,96383,2217,15403,48341,12424,9006,101688,39226,635,229,66341.0,24288.0,162344
0,1992,1,6341891.790773330,7305221.447747660,95207,15204,8754,26,58667,13492,46928,108,76013,3402,17936,21844,11223,2098,88853,17021,2754,718,63718.0,19613.0,119195
1,1992,13,13683407.178869700,19143495.0,156055,40594,17353,74,98494,14485,100934,163,126087,3771,20633,63585,18509,7515,136068,51984,7368,5642,730130.0,584615.0,214076
2,1992,27,12536602.16974410,17002787.0,150483,45512,8498,151,73287,23591,107609,157,131484,2406,13910,56844,1580,4462,152796,45806,51,20,5147.0,2021.0,204644
3,1992,37,11371974.73951330,15069813.0,172789,22079,13964,156,102250,12371,94158,209,138953,7145,26030,36860,19603,5520,159199,24666,2637,653,118072.0,38594.0,208988
4,1992,45,5607528.128147050,7020981.895495310,86119,9980,8220,59,51161,7343,45793,81,63965,3445,14380,22588,9560,1896,71728,21194,1493,375,63085.0,23584.0,104378
5,1992,51,18428352.706766400,30765833.0,201336,33621,36931,26,110250,19505,141887,272,172558,3581,21689,74086,17042,15201,174329,65342,3351,2004,374741.0,245958.0,2719140
0,1993,1,7645965.869876110,9475140.0,113665,19292,10443,49,69048,13031,61276,94,95559,4706,20881,22303,14813,2532,113544,12560,2642,1608,156114.0,103071.0,143449
1,1993,13,17764707.488044400,25303664.0,196105,61016,23235,516,112428,18625,149615,204,176123,6625,28238,69886,28648,9985,191845,50394,13603,9799,1212610.0,925052.0,280872
2,1993,27,18708111.347120000,26182711.0,199001,76674,15584,306,83883,32768,174646,268,215364,4252,17903,54046,2716,7461,240141,41247,1579,571,236494.0,70808.0,291565
3,1993,37,14123325.310077800,19209136.38554590,195436,35053,18987,346,111052,16185,122406,179,180163,9100,28436,32123,24044,8531,198125,19122,2578,1413,195670.0,124115.0,249822
4,1993,45,6813752.848670610,8392826.0,98922,12886,9006,27,52914,8073,59787,67,85674,5020,16454,13693,12886,2961,93432,11562,2283,1108,139208.0,78067.0,120841
5,1993,51,22557209.186043700,37281167.0,224788,61070,54627,70,115430,22012,202908,205,247250,4452,23115,65738,24991,21970,245512,48082,6442,4773,680625.0,531022.0,340555
0,1994,1,6447285.210684890,8254439.0,106783,16350,9619,306,81680,14282,36944,152,78661,5783,23816,24798,20221,2541,98913,11383,7527,3158,310388.0,142672.0,133058
1,1994,13,14202560.873207700,21642827.0,186017,52971,20116,773,155627,24307,79755,188,144709,11757,36707,66704,42775,10218,166037,40847,22451,9629,1377291.0,761011.0,259877
2,1994,27,10053781.147768200,14210255.0,133374,38404,8635,355,82467,37026,60968,307,123160,5362,18540,33706,3006,6017,139017,32728,4586,1693,277837.0,118451.0,180768
3,1994,37,12445380.38152360,17281748.0,209327,27756,19169,482,156892,26121,73481,240,152488,17574,45263,41409,36376,9238,181922,29198,15081,3899,665782.0,188926.0,256734
4,1994,45,5666837.108102990,7213375.0,100620,11192,7117,34,71187,11700,35975,101,67918,8655,24058,18332,19065,3999,82248,13651,7623,2292,274626.0,94664.0,118963
5,1994,51,16478960.819044600,27638078.0,180001,50023,40558,169,136374,31016,103170,191,166033,9266,27878,67574,31406,18010,174164,47171,10993,4062,895747.0,409063.0,270751
0,1995,1,6037314.751330230,7512897.0,108170,13948,6522,494,87911,13841,27286,96,74154,7008,27346,20626,20442,2501,93362,12829,5417,1803,206495.0,74611.0,129134
1,1995,13,14385044.138655700,21698045.0,210444,40826,17334,687,179769,28544,60778,200,142435,15103,46804,64949,48602,11139,164747,44803,28886,10575,1551838.0,698286.0,269291
2,1995,27,9035107.21339046,12265103.0,129222,28659,6007,357,91265,33126,39592,262,107692,6609,19683,30261,3037,6135,123979,31094,7617,2050,410634.0,105643.0,164245
3,1995,37,13783228.590491800,19166973.0,247446,22455,18609,864,194729,24600,69724,321,158412,21076,68197,41689,44268,11694,193631,39781,28976,8367,1176500.0,347276.0,289374
4,1995,45,6721692.768128810,8375801.0,133207,8981,5646,102,100108,12191,35550,87,73441,12290,42045,20160,29284,4782,94943,18927,16012,3875,556173.0,139357.0,147936
5,1995,51,13625877.803653900,22348792.0,167815,38781,26652,147,136507,35267,61432,189,137234,11807,33468,50886,31253,14476,143903,43763,13682,4016,952444.0,342515.0,233395
0,1996,1,8517211.201116090,10954802.0,154324,16307,7932,815,117747,15365,46103,163,97513,9806,42233,29826,26203,3222,126763,23190,4580,1938,230878.0,102227.0,179378
1,1996,13,22519475.28115660,33110401.0,337647,51590,22017,1059,246090,40798,125097,328,194521,25182,83810,108800,68768,16562,234943,92040,56056,16171,2902185.0,908807.0,412313
2,1996,27,13885304.222463400,18413829.0,202338,33866,7113,717,108651,39442,95571,370,150604,13185,37161,43084,3825,8813,173348,58048,20139,5212,1090312.0,293933.0,244034
3,1996,37,21198623.577571300,29322825.0,381795,30163,18892,1074,256052,37457,137977,438,212493,33901,114797,70733,64267,18467,270341,78849,61812,16129,2872047.0,723042.0,431924
4,1996,45,11286383.035271500,14698818.0,224989,12681,6629,450,154730,19728,70142,149,105873,20052,78694,40130,50942,5856,143509,44442,34271,7627,1386751.0,326703.0,244749
5,1996,51,19531698.989377300,31416740.0,245761,52694,31495,224,166260,46243,117371,300,179480,17782,53188,79724,40506,18702,196094,74872,29872,7488,1872667.0,480382.0,330174
0,1997,1,10157331.460943400,12850456.0,186561,20772,7607,980,141433,22085,52220,182,106979,13701,61924,33316,34578,4866,143336,33140,6088,2253,340036.0,133274.0,215920
1,1997,13,27260702.022555000,39897864.0,419402,56665,19372,1187,279035,51682,165471,438,216718,36355,121438,122115,85701,21274,259517,130134,94404,23630,5357701.0,1452992.0,496626
2,1997,27,15581415.481529200,20564650.0,227879,28711,6360,841,110025,40751,112579,436,152662,17195,42760,51174,4555,10960,179769,68507,38437,10088,2324577.0,661625.0,263791
3,1997,37,27773479.886429000,44394041.0,482918,32072,18670,1278,299165,44476,190798,499,236805,53792,152115,92226,83190,24885,307950,118913,113665,25529,12592361.0,2137066.0,534938
4,1997,45,15837504.829224500,27441778.0,281758,13321,6149,580,183321,21679,96622,186,112442,33489,106558,49319,67337,7251,162491,64729,58261,13069,11883397.0,1436461.0,301808
5,1997,51,23216740.208912800,36099996.0,297002,54418,28875,342,192823,47904,139586,324,193447,22109,71246,93835,42931,21714,210509,105483,55916,11994,3339718.0,784610.0,380637
0,1998,1,15592155.392993900,20844890.0,270150,22774,12140,879,168355,25190,112203,195,155044,16057,82139,52703,47037,5101,201051,52754,18753,5726,1075404.0,346522.0,305943
1,1998,13,43016522.40653780,69785461.0,629194,62830,32531,1702,337099,42234,346428,496,338739,48098,152158,187262,111483,30840,375473,208461,143595,30249,12190385.0,2187027.0,726257
2,1998,27,29331386.374184400,41803865.0,418179,36702,12409,1569,143898,48046,276333,582,272948,29531,64389,101991,7277,17879,316836,126867,77424,17693,5271327.0,1218532.0,468859
3,1998,37,42619558.732751200,65424088.0,722252,31920,29879,1635,357931,37602,389576,577,357219,81009,197850,149608,102321,34457,430290,218618,191690,40671,13201021.0,2443753.0,785686
4,1998,45,20964996.32320680,30127399.0,385634,11140,10669,847,202675,19621,185795,199,161872,40910,128950,76558,73986,10421,207219,116664,102152,20046,6439837.0,1138307.0,408290
5,1998,51,39528403.88216530,64025325.0,474714,70327,53174,553,233526,44537,320404,301,320802,32966,96414,148586,55335,35636,327555,180242,87477,18062,6632047.0,1293680.0,598768
0,1999,1,14934354.981330100,20515201.0,271325,22226,8637,948,170075,23363,109418,280,136970,20380,89110,56676,49820,6197,181728,65391,45449,11414,2744177.0,733191.0,303136
1,1999,13,41610223.45382040,65834052.0,596412,76080,22895,1870,346686,46564,303477,530,296372,52473,153744,194668,115989,30780,325479,225009,171039,35740,12353221.0,2837826.0,697257
2,1999,27,24253861.87270170,35117373.0,347426,30409,6902,1452,150644,38683,196170,692,204171,27402,62807,91809,7413,16224,251168,111384,66642,14433,5222689.0,1216036.0,386189
3,1999,37,40949463.57285390,63116317.0,691304,36006,20591,1753,360823,39492,348738,601,309218,80304,201421,158711,100947,33796,378911,236000,200282,43725,13711273.0,3268984.0,749654
4,1999,45,20249291.713441400,29577183.0,372066,11812,6993,935,192123,18601,180807,275,142454,41724,127595,80033,70348,9279,185190,126989,115070,22363,7089495.0,1444289.0,391806
5,1999,51,36305317.78904610,57524782.0,449783,66448,35079,808,253279,51459,247000,380,269319,36632,96970,149197,53134,32884,273394,192706,104443,24067,7202481.0,1712784.0,552118
0,2000,1,13240627.643232900,17668043.0,236631,22526,5234,656,157156,21307,86372,211,112393,19120,78828,54706,39755,5196,134369,85727,53457,12097,3147889.0,692390.0,265047
1,2000,13,38421252.55224450,58948512.0,525906,69962,14138,923,336561,49032,224995,334,248664,45895,148615,167755,99064,28311,245910,237644,165512,32964,11896676.0,2600464.0,610929
2,2000,27,21966162.569602300,30986568.0,307486,23405,3826,1168,147417,42119,145777,570,172838,23760,61055,78232,7842,14821,206222,107000,74011,14268,5870026.0,1247627.0,335885
3,2000,37,32454224.348490900,49558451.0,521477,46467,12406,1121,325847,37658,217566,379,235025,59059,170569,116818,74640,28912,267164,210755,148952,34834,10116983.0,2577780.0,581471
4,2000,45,17016510.538600400,24676651.0,296855,16211,4186,621,167417,18391,131891,166,111931,30320,110891,64731,49701,7053,131095,130024,100001,17655,6190446.0,1282828.0,317873
5,2000,51,32037649.935792800,48024237.0,386809,59705,21029,707,262146,52294,153568,239,216654,33233,101374,116989,45095,31429,209695,182031,107449,20704,6731999.0,1472895.0,468250
0,2001,1,19916898.853511000,27908665.060348400,297694,23714,7335,707,131421,19356,178346,327,158259,19975,79079,72137,36035,5742,173750,113923,61041,11730,4154903.0,798486.0,329450
1,2001,13,63866917.303226900,101451823.0,728565,98161,22703,840,323413,46042,480321,493,409956,46601,163235,230477,112413,41765,362361,333730,178552,32986,15261030.0,3174229.0,850269
2,2001,27,41211404.94640160,67562546.0,529804,28745,5467,1087,151170,37647,375539,747,322931,28092,74905,139175,9015,22794,356943,176351,92026,17122,9328737.0,1888821.0,565103
3,2001,37,49692585.990507300,79533893.0,664794,49011,21501,878,293321,34995,407378,490,364069,54582,153231,164302,68149,30076,358275,279684,138446,31725,10517491.0,2380279.0,736184
4,2001,45,24554045.646897100,37798517.0,354882,12984,6581,693,144965,15973,214020,182,166314,25537,96534,86755,38245,8628,170272,157995,92093,15949,6465151.0,1189128.0,375140
5,2001,51,59040813.861793000,97640251.0,623588,79522,37333,551,278291,46415,415922,366,388259,41667,110666,200402,53789,53432,334786,298987,131752,24209,10978693.0,2225793.0,740994
0,2002,1,22947537.771467300,33416465.0,311341,24599,10262,656,114366,17391,214807,294,166953,23639,64655,91611,36764,8338,190417,111339,73722,12751,5558372.0,976687.0,346858
1,2002,13,75117381.46969980,117297056.0,780004,89119,25129,714,297644,37143,559697,482,442140,54669,135212,262945,122652,53741,404507,314066,177070,38124,17853005.0,4181697.0,894966
2,2002,27,52362643.56368460,88779604.0,610955,25528,6151,1099,158008,29039,455840,846,370220,39849,69028,164636,10666,29733,422892,180442,110660,23840,13285304.0,3020880.0,643733
3,2002,37,62008212.89223490,94700061.0,710812,52578,24867,857,268364,28581,491748,421,399967,56783,137894,194470,69460,36516,400980,282158,149481,33191,12801341.0,2891249.0,789114
4,2002,45,28366263.22983170,42665464.0,351346,13661,8399,521,125879,11922,235930,196,181113,25929,74991,91894,37126,10899,186751,139151,84458,15049,7160127.0,1339694.0,373927
5,2002,51,79665805.40489130,134583155.0,777708,72279,38713,726,288240,37581,563151,454,482498,51913,112009,243006,61674,77498,410156,340098,149329,30840,15493213.0,3557453.0,889426
0,2003,1,32039336.95843430,47926926.0,408076,31357,15970,1193,132428,18234,305635,299,217827,29265,82807,126697,60293,12410,293810,90083,97580,20071,8726066.0,1816627.0,456596
1,2003,13,92335323.99282560,158586903.0,982280,109437,39579,1965,349327,32973,750465,496,592158,58087,147148,335868,185425,80697,601194,265945,173083,52022,20391570.0,6584190.0,1133261
2,2003,27,66033148.511051600,126197002.0,808101,27180,7546,1467,179371,30022,633897,1004,476059,43316,93083,231836,15488,45268,606895,176643,137917,36323,19066557.0,5362393.0,844294
3,2003,37,80049863.84635570,129619016.0,894291,68024,45948,1282,293515,26523,689039,468,530341,59515,156865,262824,102983,53816,599021,253725,177542,44543,17636315.0,4521041.0,1009545
4,2003,45,36646338.14342200,58679417.0,446424,17812,13604,894,150441,12716,315339,238,241042,29362,83724,124606,55676,19297,284145,119616,91789,20394,8633098.0,1981784.0,478734
5,2003,51,109581336.75127000,204254280.0,1086317,84028,66050,1040,322956,40145,873888,446,672716,74608,127027,363084,108966,122477,660176,345816,170643,45433,21275012.0,6144034.0,1237435
0,2004,1,27125591.67252730,41228430.0,368886,23552,10524,1264,153726,26999,223501,0,162362,31081,86422,124361,68195,64584,230519,40928,130580,26211,11752929.0,2391652.0,404226
1,2004,13,76666296.99801410,133708977.0,891839,75631,25552,707,412932,55149,525648,0,440263,60749,190653,302064,218010,187776,477994,109949,300027,81697,35027135.0,9706895.0,993729
2,2004,27,44494747.34303190,90015550.0,555189,16155,3803,1142,198723,39018,338548,0,279676,35380,83173,178060,18288,103004,400861,54136,150240,40405,22538459.0,6245232.0,576289
3,2004,37,59634799.98350980,99740519.0,723044,44448,27463,1179,334249,40266,421619,0,361733,48283,166511,219607,112433,148990,456153,78558,219268,52752,22015281.0,5167682.0,796134
4,2004,45,29518899.786134100,47861756.0,366838,13919,9074,859,175342,21284,194064,0,171509,24502,82297,112382,60310,65694,221987,42699,108312,25054,10469463.0,2389872.0,390690
5,2004,51,83951623.94952840,172392573.0,925318,41000,29428,1186,383357,64699,548876,0,481904,58089,148618,308321,127773,226825,517943,124391,236010,66784,31178047.0,9707688.0,996932
0,2005,1,29848419.20840080,45644042.0,394247,19224,7482,1252,181402,34548,206255,0,166148,27569,93095,135393,77347,59830,242856,42172,115082,25170,11004748.0,2329150.0,422205
1,2005,13,94224090.01189080,159463528.0,1077206,57708,18177,648,530418,66939,556382,0,480921,65119,227845,379854,278802,227060,531285,116592,311337,84009,38478220.0,9694102.0,1153739
2,2005,27,50687099.53034170,98960131.0,598872,11034,2232,1182,237046,41006,335268,0,277635,36238,94933,204514,24525,105511,428205,55079,152154,39791,23501116.0,5880763.0,613320
3,2005,37,69456668.64458020,115626707.0,826196,36385,21113,1008,405181,50293,429228,0,394927,55204,180240,254331,131569,162471,513530,77132,203132,50617,22097807.0,5251350.0,884702
4,2005,45,36576711.94099370,60416459.0,426762,11240,7403,748,217420,26182,202551,0,191245,26233,91529,137146,68130,76439,257970,43614,107833,26365,11577642.0,2740837.0,446153
5,2005,51,96017434.41177120,213999209.0,1034662,22361,15288,1144,424366,79509,569580,0,515562,62318,161169,334406,152659,235302,568294,117200,208736,71181,33410432.0,12310403.0,1073455
0,2006,1,31451261.649983500,47098433.0,386148,17405,7228,935,183333,35301,193082,0,168942,24485,85356,132933,72890,59230,232461,47135,85112,19917,8608390.0,1939490.0,411716
1,2006,13,100151852.1552330,163961738.0,1086106,48166,17046,563,558440,67543,525898,0,470723,71566,231919,377673,290138,215419,502921,143403,245503,58061,32346199.0,7159647.0,1151881
2,2006,27,47233272.77400520,86089351.0,524676,10233,1868,1085,211728,40134,286000,0,231397,38340,90559,177566,23838,93474,352067,68483,105978,23919,17020224.0,3618301.0,537862
3,2006,37,75426274.93423680,120546011.0,828630,32487,20254,1078,434958,50222,397269,0,396544,58064,172313,255528,128743,153149,502076,98481,155655,39063,17906397.0,4294471.0,882449
4,2006,45,39502479.26275750,63671874.0,427341,10818,6990,463,224857,26237,194518,0,191359,28998,90317,134938,70149,71431,252744,51288,90444,21035,10317393.0,2351720.0,445612
5,2006,51,94398077.89961470,200847056.0,963537,18389,14477,1068,381223,77758,538490,0,443474,60190,164270,329537,156420,216654,493916,130481,186474,53197,32184763.0,9245502.0,997471